,SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE,YFTicker,EPS
238,BIRLATYRE,Birla Tyres Limited,EQ,10-Feb-20,10,1,INE0AEJ01013,10,BIRLATYRE.NS,-24.121
239,BKMINDST,Bkm Industries Limited,BZ,30-Mar-15,1,1,INE831Q01016,1,BKMINDST.NS,-2.438
240,BLBLIMITED,BLB Limited,EQ,31-May-00,1,1,INE791A01024,1,BLBLIMITED.NS,0.131
241,BLISSGVS,Bliss GVS Pharma Limited,EQ,26-Jul-10,1,1,INE416D01022,1,BLISSGVS.NS,6.49
242,BLKASHYAP,B. L. Kashyap and Sons Limited,EQ,17-Mar-06,1,1,INE350H01032,1,BLKASHYAP.NS,-2.131
243,BLS,BLS International Services Limited,BE,14-Jun-16,1,1,INE153T01027,1,BLS.NS,4.9
244,BLUECOAST,Blue Coast Hotels Limited,BE,16-Feb-00,10,1,INE472B01011,10,BLUECOAST.NS,-11.21
245,BLUEDART,Blue Dart Express Limited,EQ,12-Dec-02,10,1,INE233B01017,10,BLUEDART.NS,42.91
246,BLUESTARCO,Blue Star Limited,EQ,15-Jun-00,2,1,INE472A01039,2,BLUESTARCO.NS,10.42
247,BODALCHEM,Bodal Chemicals Limited,EQ,22-Aug-11,2,1,INE338D01028,2,BODALCHEM.NS,3.406
248,BOMDYEING,Bombay Dyeing & Mfg Company Limited,EQ,26-Apr-95,2,1,INE032A01023,2,BOMDYEING.NS,-22.71
249,BOROLTD,Borosil Limited,EQ,22-Jul-20,1,1,INE02PY01013,1,BOROLTD.NS,3.69
250,BORORENEW,BOROSIL RENEWABLES LIMITED,EQ,25-May-18,1,1,INE666D01022,1,BORORENEW.NS,7.56
251,BOSCHLTD,Bosch Limited,EQ,12-May-03,10,1,INE323A01026,10,BOSCHLTD.NS,163.4
252,BPCL,Bharat Petroleum Corporation Limited,EQ,13-Sep-95,10,1,INE029A01011,10,BPCL.NS,20.396
253,BPL,BPL Limited,BE,14-Jun-95,10,1,INE110A01019,10,BPL.NS,2.188
254,BRFL,Bombay Rayon Fashions Limited,BZ,05-Dec-05,10,1,INE589G01011,10,BRFL.NS,-29.539
255,BRIGADE,Brigade Enterprises Limited,EQ,31-Dec-07,10,1,INE791I01019,10,BRIGADE.NS,-4.05
256,BRITANNIA,Britannia Industries Limited,EQ,05-Nov-98,1,1,INE216A01030,1,BRITANNIA.NS,77.4
257,BRNL,Bharat Road Network Limited,EQ,18-Sep-17,10,1,INE727S01012,10,BRNL.NS,-13.741
258,BROOKS,Brooks Laboratories Limited,EQ,05-Sep-11,10,1,INE650L01011,10,BROOKS.NS,-7.658
259,BSE,BSE Limited,EQ,03-Feb-17,2,1,INE118H01025,2,BSE.NS,30.94
260,BSHSL,Bombay Super Hybrid Seeds Limited,EQ,28-Oct-20,10,1,INE032Z01012,10,BSHSL.NS,5.33
261,BSL,BSL Limited,EQ,27-Jul-95,10,1,INE594B01012,10,BSL.NS,1.32
262,BSOFT,BIRLASOFT LIMITED,EQ,24-Nov-99,2,1,INE836A01035,2,BSOFT.NS,11.539
263,BURGERKING,Burger King India Limited,EQ,14-Dec-20,10,1,INE07T201019,10,BURGERKING.NS,-5.47
264,BURNPUR,Burnpur Cement Limited,BE,03-Jan-08,10,1,INE817H01014,10,BURNPUR.NS,-9.2
265,BUTTERFLY,Butterfly Gandhimathi Appliances Limited,BE,28-Apr-14,10,1,INE295F01017,10,BUTTERFLY.NS,20.22
266,BVCL,Barak Valley Cements Limited,BE,23-Nov-07,10,1,INE139I01011,10,BVCL.NS,2.43
267,BYKE,The Byke Hospitality Ltd,EQ,15-Apr-15,10,1,INE319B01014,10,BYKE.NS,-4.877
268,CADILAHC,Cadila Healthcare Limited,EQ,18-Apr-00,1,1,INE010B01027,1,CADILAHC.NS,20.84
269,CALSOFT,California Software Company Limited,BE,28-Jun-00,10,1,INE526B01014,10,CALSOFT.NS,0.126
270,CAMLINFINE,Camlin Fine Sciences Limited,EQ,20-Jan-15,1,1,INE052I01032,1,CAMLINFINE.NS,3.68
271,CAMS,Computer Age Management Services Limited,EQ,07-May-21,10,1,INE596I01012,10,CAMS.NS,41.93
272,CANBK,Canara Bank,EQ,23-Dec-02,10,1,INE476A01014,10,CANBK.NS,19.11
273,CANDC,C & C Constructions Limited,BZ,26-Feb-07,10,1,INE874H01015,10,CANDC.NS,-11.874
274,CANFINHOME,Can Fin Homes Limited,EQ,10-May-95,2,1,INE477A01020,2,CANFINHOME.NS,34.25
275,CANTABIL,Cantabil Retail India Limited,BE,12-Oct-10,10,1,INE068L01016,10,CANTABIL.NS,5.92
276,CAPACITE,Capacit'e Infraprojects Limited,EQ,25-Sep-17,10,1,INE264T01014,10,CAPACITE.NS,0.23
277,CAPLIPOINT,Caplin Point Laboratories Limited,EQ,23-Jun-14,2,1,INE475E01026,2,CAPLIPOINT.NS,31.71
278,CAPTRUST,Capital Trust Limited,EQ,16-Jan-17,10,1,INE707C01018,10,CAPTRUST.NS,-2.291
279,CARBORUNIV,Carborundum Universal Limited,EQ,03-Apr-96,1,1,INE120A01034,1,CARBORUNIV.NS,14.99
280,CAREERP,Career Point Limited,EQ,06-Oct-10,10,1,INE521J01018,10,CAREERP.NS,15.311
281,CARERATING,CARE Ratings Limited,EQ,26-Dec-12,10,1,INE752H01013,10,CARERATING.NS,30.33
282,CARTRADE,Cartrade Tech Limited,EQ,20-Aug-21,10,1,INE290S01011,10,CARTRADE.NS,0
283,CASTROLIND,Castrol India Limited,EQ,14-Mar-14,5,1,INE172A01027,5,CASTROLIND.NS,7.083
284,CCCL,Consolidated Construction Consortium Limited,BE,15-Oct-07,2,1,INE429I01024,2,CCCL.NS,-3.609
285,CCHHL,Country Club Hospitality & Holidays Limited,EQ,03-Feb-15,2,1,INE652F01027,2,CCHHL.NS,-4.852
286,CCL,CCL Products (India) Limited,EQ,07-Jun-04,2,1,INE421D01022,2,CCL.NS,13.7
287,CDSL,Central Depository Services (India) Limited,EQ,30-Jun-17,10,1,INE736A01011,10,CDSL.NS,19.17
288,CEATLTD,CEAT Limited,EQ,01-Feb-08,10,1,INE482A01020,10,CEATLTD.NS,106.81
289,CEBBCO,Commercial Engineers & Body Builders Co Limited,EQ,18-Oct-10,10,1,INE209L01016,10,CEBBCO.NS,1.37
290,CELEBRITY,Celebrity Fashions Limited,EQ,12-Jan-06,10,1,INE185H01016,10,CELEBRITY.NS,-1.26
291,CENTENKA,Century Enka Limited,EQ,10-May-95,10,1,INE485A01015,10,CENTENKA.NS,20.242
292,CENTEXT,Century Extrusions Limited,EQ,20-Jul-04,1,1,INE281A01026,1,CENTEXT.NS,0.197
293,CENTRALBK,Central Bank of India,EQ,21-Aug-07,10,1,INE483A01010,10,CENTRALBK.NS,-1.73
294,CENTRUM,Centrum Capital Limited,EQ,04-Apr-18,1,1,INE660C01027,1,CENTRUM.NS,-0.155
295,CENTUM,Centum Electronics Limited,EQ,05-Oct-07,10,1,INE320B01020,10,CENTUM.NS,15.245
296,CENTURYPLY,Century Plyboards (India) Limited,EQ,23-Mar-06,1,1,INE348B01021,1,CENTURYPLY.NS,8.62
297,CENTURYTEX,Century Textiles & Industries Limited,EQ,27-Jun-03,10,1,INE055A01016,10,CENTURYTEX.NS,-2.725
298,CERA,Cera Sanitaryware Limited,EQ,02-Nov-07,5,1,INE739E01017,5,CERA.NS,70.919
299,CEREBRAINT,Cerebra Integrated Technologies Limited,EQ,26-Jun-13,10,1,INE345B01019,10,CEREBRAINT.NS,-0.851
300,CESC,CESC Limited,EQ,08-Feb-95,1,1,INE486A01021,1,CESC.NS,100.4
301,CGCL,Capri Global Capital Limited,EQ,29-Oct-10,2,1,INE180C01026,2,CGCL.NS,10.03
302,CGPOWER,CG Power and Industrial Solutions Limited,BE,01-Mar-95,2,1,INE067A01029,2,CGPOWER.NS,-4.36
303,CHALET,Chalet Hotels Limited,EQ,07-Feb-19,10,1,INE427F01016,10,CHALET.NS,-6.78
304,CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,EQ,14-Jun-95,10,1,INE085A01013,10,CHAMBLFERT.NS,33.751
305,CHEMBOND,Chembond Chemicals Ltd,EQ,20-Nov-19,5,1,INE995D01025,5,CHEMBOND.NS,6.817
306,CHEMCON,Chemcon Speciality Chemicals Limited,EQ,01-Oct-20,10,1,INE03YM01018,10,CHEMCON.NS,16.48
307,CHEMFAB,Chemfab Alkalis Limited,EQ,25-Apr-18,10,1,INE783X01023,10,CHEMFAB.NS,3.785
308,CHEMPLASTS,Chemplast Sanmar Limited,EQ,24-Aug-21,5,1,INE488A01050,5,CHEMPLASTS.NS,0
309,CHENNPETRO,Chennai Petroleum Corporation Limited,EQ,07-Jun-00,10,1,INE178A01016,10,CHENNPETRO.NS,17.28
310,CHOLAFIN,Cholamandalam Investment and Finance Company Limited,EQ,15-May-96,2,1,INE121A01024,2,CHOLAFIN.NS,18.52
311,CHOLAHLDNG,Cholamandalam Financial Holdings Limited,EQ,25-Sep-17,1,1,INE149A01033,1,CHOLAHLDNG.NS,43.93
312,CIGNITITEC,Cigniti Technologies Limited,EQ,13-Oct-14,10,1,INE675C01017,10,CIGNITITEC.NS,37.77
313,CINELINE,Cineline India Limited,EQ,13-Jun-12,5,1,INE704H01022,5,CINELINE.NS,3.586
314,CINEVISTA,Cinevista Limited,EQ,02-May-00,2,1,INE039B01026,2,CINEVISTA.NS,-0.535
315,CIPLA,Cipla Limited,EQ,08-Feb-95,2,1,INE059A01026,2,CIPLA.NS,29.79
316,CLEAN,Clean Science and Technology Limited,EQ,19-Jul-21,1,1,INE227W01023,1,CLEAN.NS,0
317,CLEDUCATE,CL Educate Limited,BE,31-Mar-17,5,1,INE201M01029,5,CLEDUCATE.NS,-42.285
318,CLNINDIA,Clariant Chemicals (India) Limited,EQ,14-Jun-95,10,1,INE492A01029,10,CLNINDIA.NS,97.08
319,CLSEL,Chaman Lal Setia Exports Limited,EQ,12-May-21,2,1,INE419D01026,2,CLSEL.NS,0
320,CMICABLES,CMI Limited,EQ,29-Nov-16,10,1,INE981B01011,10,CMICABLES.NS,-27.468
321,COALINDIA,Coal India Limited,EQ,04-Nov-10,10,1,INE522F01014,10,COALINDIA.NS,20.61
322,COASTCORP,Coastal Corporation Limited,EQ,08-Oct-21,10,1,INE377E01016,10,COASTCORP.NS,0
323,COCHINSHIP,Cochin Shipyard Limited,EQ,11-Aug-17,10,1,INE704P01017,10,COCHINSHIP.NS,46.27
324,COFFEEDAY,Coffee Day Enterprises Limited,EQ,02-Nov-15,10,1,INE335K01011,10,COFFEEDAY.NS,90.443
325,COFORGE,Coforge Limited,EQ,30-Aug-04,10,1,INE591G01017,10,COFORGE.NS,73.29
326,COLPAL,Colgate Palmolive (India) Limited,EQ,17-Dec-07,1,1,INE259A01022,1,COLPAL.NS,38.07
327,COMPINFO,Compuage Infocom Limited,EQ,07-Jul-16,2,1,INE070C01037,2,COMPINFO.NS,3.627
328,COMPUSOFT,Compucom Software Limited,EQ,02-Mar-12,2,1,INE453B01029,2,COMPUSOFT.NS,0.25
329,CONCOR,Container Corporation of India Limited,EQ,07-May-97,5,1,INE111A01025,5,CONCOR.NS,8.22
330,CONFIPET,Confidence Petroleum India Limited,EQ,13-Jun-19,1,1,INE552D01024,1,CONFIPET.NS,1.73
331,CONSOFINVT,Consolidated Finvest & Holdings Limited,EQ,29-Mar-05,10,1,INE025A01027,10,CONSOFINVT.NS,57.991
332,CONTROLPR,Control Print Limited,EQ,24-Jun-16,10,1,INE663B01015,10,CONTROLPR.NS,17.79
333,CORALFINAC,Coral India Finance & Housing Limited,EQ,25-Mar-96,2,1,INE558D01021,2,CORALFINAC.NS,3.22
334,CORDSCABLE,Cords Cable Industries Limited,EQ,13-Feb-08,10,1,INE792I01017,10,CORDSCABLE.NS,5.395
335,COROMANDEL,Coromandel International Limited,EQ,31-May-95,1,1,INE169A01031,1,COROMANDEL.NS,45.22
336,COSMOFILMS,Cosmo Films Limited,EQ,25-May-95,10,1,INE757A01017,10,COSMOFILMS.NS,95.914
337,COUNCODOS,Country Condo's Limited,EQ,22-Jan-09,1,1,INE695B01025,1,COUNCODOS.NS,0.061
338,COX&KINGS,Cox & Kings Limited,BZ,11-Dec-09,5,1,INE008I01026,5,COX&KINGS.NS,
339,CRAFTSMAN,Craftsman Automation Limited,EQ,25-Mar-21,5,1,INE00LO01017,5,CRAFTSMAN.NS,48.32
340,CREATIVE,Creative Newtech Limited,EQ,05-Aug-19,10,1,INE985W01018,10,CREATIVE.NS,8.26
341,CREATIVEYE,Creative Eye Limited,BE,20-Dec-00,5,1,INE230B01021,5,CREATIVEYE.NS,-0.295
342,CREDITACC,CREDITACCESS GRAMEEN LIMITED,EQ,23-Aug-18,10,1,INE741K01010,10,CREDITACC.NS,8.9
343,CREST,Crest Ventures Limited,EQ,27-Dec-06,10,1,INE559D01011,10,CREST.NS,2.404
344,CRISIL,CRISIL Limited,EQ,28-Jun-95,1,1,INE007A01025,1,CRISIL.NS,48.229
345,CROMPTON,Crompton Greaves Consumer Electricals Limited,EQ,13-May-16,2,1,INE299U01018,2,CROMPTON.NS,9.75
346,CSBBANK,CSB Bank Limited,EQ,04-Dec-19,10,1,INE679A01013,10,CSBBANK.NS,12.59
347,CTE,Cambridge Technology Enterprises Limited,EQ,07-Feb-07,10,1,INE627H01017,10,CTE.NS,-1.512
348,CUB,City Union Bank Limited,EQ,25-Aug-98,1,1,INE491A01021,1,CUB.NS,5.198
349,CUBEXTUB,Cubex Tubings Limited,EQ,24-Apr-96,10,1,INE144D01012,10,CUBEXTUB.NS,0.511
350,CUMMINSIND,Cummins India Limited,EQ,29-Mar-95,2,1,INE298A01020,2,CUMMINSIND.NS,22.91
351,CUPID,Cupid Limited,EQ,16-Sep-16,10,1,INE509F01011,10,CUPID.NS,24.701
352,CYBERMEDIA,Cyber Media (India) Limited,EQ,10-Jun-05,10,1,INE278G01037,10,CYBERMEDIA.NS,0.05
353,CYBERTECH,Cybertech Systems And Software Limited,EQ,27-Jan-99,10,1,INE214A01019,10,CYBERTECH.NS,8.58
354,CYIENT,Cyient Limited,EQ,30-Sep-98,5,1,INE136B01020,5,CYIENT.NS,33.06
355,DAAWAT,LT Foods Limited,EQ,18-Dec-06,1,1,INE818H01020,1,DAAWAT.NS,8.57
356,DABUR,Dabur India Limited,EQ,28-Apr-99,1,1,INE016A01026,1,DABUR.NS,9.55
357,DALBHARAT,Dalmia Bharat Limited,EQ,22-Jan-19,2,1,INE00R701025,2,DALBHARAT.NS,65.55
358,DALMIASUG,Dalmia Bharat Sugar and Industries Limited,EQ,17-Jan-96,2,1,INE495A01022,2,DALMIASUG.NS,33.4
359,DAMODARIND,Damodar Industries Limited,EQ,04-Jul-16,5,1,INE497D01022,5,DAMODARIND.NS,-7.871
360,DANGEE,Dangee Dums Limited,EQ,13-Nov-20,10,1,INE688Y01014,10,DANGEE.NS,-9.281
361,DATAMATICS,Datamatics Global Services Limited,EQ,07-May-04,5,1,INE365B01017,5,DATAMATICS.NS,13.53
362,DBCORP,D.B.Corp Limited,EQ,06-Jan-10,10,1,INE950I01011,10,DBCORP.NS,5.902
363,DBL,Dilip Buildcon Limited,EQ,11-Aug-16,10,1,INE917M01012,10,DBL.NS,31.92
364,DBREALTY,D B Realty Limited,EQ,24-Feb-10,10,1,INE879I01012,10,DBREALTY.NS,-8.715
365,DBSTOCKBRO,DB (International) Stock Brokers Limited,EQ,29-Feb-12,2,1,INE921B01025,2,DBSTOCKBRO.NS,0.355
366,DCAL,Dishman Carbogen Amcis Limited,EQ,21-Sep-17,2,1,INE385W01011,2,DCAL.NS,-10.53
367,DCBBANK,DCB Bank Limited,EQ,27-Oct-06,10,1,INE503A01015,10,DCBBANK.NS,10.7
368,DCM,DCM  Limited,EQ,29-Mar-95,10,1,INE498A01018,10,DCM.NS,-12.534
369,DCMFINSERV,DCM Financial Services Limited,EQ,21-May-97,10,1,INE891B01012,10,DCMFINSERV.NS,0.266
370,DCMNVL,DCM Nouvelle Limited,EQ,16-Jul-19,10,1,INE08KP01019,10,DCMNVL.NS,16.33
371,DCMSHRIRAM,DCM Shriram Limited,EQ,12-Apr-95,2,1,INE499A01024,2,DCMSHRIRAM.NS,43.17
372,DCW,DCW Limited,BE,25-May-95,2,1,INE500A01029,2,DCW.NS,-0.23
373,DECCANCE,Deccan Cements Limited,EQ,02-Aug-07,5,1,INE583C01021,5,DECCANCE.NS,82.19
374,DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited,EQ,17-Jan-03,10,1,INE501A01019,10,DEEPAKFERT.NS,39.2
375,DEEPAKNTR,Deepak Nitrite Limited,EQ,29-Sep-10,2,1,INE288B01029,2,DEEPAKNTR.NS,56.88
376,DEEPENR,DEEP ENERGY RESOURCES LIMITED,EQ,09-Mar-10,10,1,INE677H01012,10,DEEPENR.NS,0.19
377,DEEPINDS,Deep Industries Limited,EQ,27-Apr-21,10,1,INE0FHS01016,10,DEEPINDS.NS,
378,DELPHIFX,DELPHI WORLD MONEY LIMITED,EQ,28-Jun-11,10,1,INE726L01019,10,DELPHIFX.NS,0
379,DELTACORP,Delta Corp Limited,EQ,02-Nov-07,1,1,INE124G01033,1,DELTACORP.NS,-0.9
380,DELTAMAGNT,Delta Manufacturing Limited,EQ,18-Oct-95,10,1,INE393A01011,10,DELTAMAGNT.NS,-13.152
381,DEN,Den Networks Limited,EQ,24-Nov-09,10,1,INE947J01015,10,DEN.NS,4.15
382,DENORA,De Nora India Limited,EQ,07-Aug-97,10,1,INE244A01016,10,DENORA.NS,8.482
383,DEVYANI,Devyani International Limited,EQ,16-Aug-21,1,1,INE872J01023,1,DEVYANI.NS,0
384,DFMFOODS,DFM Foods Limited,EQ,29-Dec-16,2,1,INE456C01020,2,DFMFOODS.NS,5.72
385,DGCONTENT,Digicontent Limited,EQ,18-Jun-19,2,1,INE03JI01017,2,DGCONTENT.NS,-7.49
386,DHAMPURSUG,Dhampur Sugar Mills Limited,EQ,29-Mar-95,10,1,INE041A01016,10,DHAMPURSUG.NS,34.52
387,DHANBANK,Dhanlaxmi Bank Limited,EQ,01-Apr-04,10,1,INE680A01011,10,DHANBANK.NS,1.47
388,DHANI,Dhani Services Limited,EQ,02-Apr-08,2,1,INE274G01010,2,DHANI.NS,-7.3
389,DHANUKA,Dhanuka Agritech Limited,EQ,29-Jun-11,2,1,INE435G01025,2,DHANUKA.NS,44.61
390,DHARSUGAR,Dharani Sugars & Chemicals Limited,EQ,22-May-96,10,1,INE988C01014,10,DHARSUGAR.NS,4.325
391,DHUNINV,Dhunseri Investments Limited,EQ,18-Mar-11,10,1,INE320L01011,10,DHUNINV.NS,92.56
392,DIAMONDYD,Prataap Snacks Limited,EQ,05-Oct-17,5,1,INE393P01035,5,DIAMONDYD.NS,6.04
393,DICIND,DIC India Limited,EQ,30-Aug-95,10,1,INE303A01010,10,DICIND.NS,95.907
394,DIGISPICE,DiGiSPICE Technologies Limited,BE,27-May-08,3,1,INE927C01020,3,DIGISPICE.NS,-1.269
395,DIGJAMLMTD,Digjam Limited,EQ,18-Oct-21,10,1,INE731U01028,10,DIGJAMLMTD.NS,
396,DISHTV,Dish TV India Limited,BE,18-Apr-07,1,1,INE836F01026,1,DISHTV.NS,-6.321
397,DIVISLAB,Divi's Laboratories Limited,EQ,12-Mar-03,2,1,INE361B01024,2,DIVISLAB.NS,74.75
398,DIXON,Dixon Technologies (India) Limited,EQ,18-Sep-17,2,1,INE935N01020,2,DIXON.NS,24.369
399,DLF,DLF Limited,EQ,05-Jul-07,2,1,INE271C01023,2,DLF.NS,4.42
400,DLINKINDIA,D-Link (India) Limited,EQ,18-Dec-09,2,1,INE250K01012,2,DLINKINDIA.NS,8.83
401,DMART,Avenue Supermarts Limited,EQ,21-Mar-17,10,1,INE192R01011,10,DMART.NS,14.707
402,DNAMEDIA,Diligent Media Corporation Limited,EQ,11-Dec-17,1,1,INE016M01021,1,DNAMEDIA.NS,9.777
403,DODLA,Dodla Dairy Limited,EQ,28-Jun-21,10,1,INE021O01019,10,DODLA.NS,0
404,DOLAT,Dolat Investments Limited,EQ,19-Aug-19,1,1,INE966A01022,1,DOLAT.NS,8.35
405,DOLLAR,Dollar Industries Limited,EQ,21-Apr-17,2,1,INE325C01035,2,DOLLAR.NS,15.04
406,DONEAR,Donear Industries Limited,EQ,20-Dec-06,2,1,INE668D01028,2,DONEAR.NS,-1.696
407,DPABHUSHAN,D. P. Abhushan Limited,EQ,03-Nov-20,10,1,INE266Y01019,10,DPABHUSHAN.NS,11.03
408,DPSCLTD,DPSC Limited,EQ,21-Apr-08,1,1,INE360C01024,1,DPSCLTD.NS,0.136
409,DPWIRES,D P Wires Limited,EQ,17-Jan-20,10,1,INE864X01013,10,DPWIRES.NS,17.75
410,DRCSYSTEMS,DRC Systems India Limited,BE,10-Mar-21,10,1,INE03RS01019,10,DRCSYSTEMS.NS,
411,DREDGECORP,Dredging Corporation of India Limited,EQ,15-Jan-04,10,1,INE506A01018,10,DREDGECORP.NS,-23.585
412,DRREDDY,Dr. Reddy's Laboratories Limited,EQ,30-May-03,5,1,INE089A01023,5,DRREDDY.NS,115.14
413,DSSL,Dynacons Systems & Solutions Limited,EQ,01-Dec-11,10,1,INE417B01040,10,DSSL.NS,7.83
414,DTIL,Dhunseri Tea & Industries Limited,EQ,20-Jan-15,10,1,INE341R01014,10,DTIL.NS,43.746
415,DUCON,Ducon Infratechnologies Limited,EQ,09-Oct-12,1,1,INE741L01018,1,DUCON.NS,0.068
416,DVL,Dhunseri Ventures Limited,EQ,11-Jan-08,10,1,INE477B01010,10,DVL.NS,66.31
417,DWARKESH,Dwarikesh Sugar Industries Limited,EQ,31-Dec-04,1,1,INE366A01041,1,DWARKESH.NS,4.86
418,DYNAMATECH,Dynamatic Technologies Limited,BE,14-Sep-06,10,1,INE221B01012,10,DYNAMATECH.NS,-34.5
419,DYNPRO,Dynemic Products Limited,EQ,19-Jul-17,10,1,INE256H01015,10,DYNPRO.NS,25.06
420,EASEMYTRIP,Easy Trip Planners Limited,BE,19-Mar-21,2,1,INE07O001018,2,EASEMYTRIP.NS,5.62
421,EASTSILK,Eastern Silk Industries Limited,EQ,03-Jul-96,2,1,INE962C01027,2,EASTSILK.NS,0.695
422,EASUNREYRL,Easun Reyrolle Limited,BZ,23-Jul-97,2,1,INE268C01029,2,EASUNREYRL.NS,-3.334
423,ECLERX,eClerx Services Limited,EQ,31-Dec-07,10,1,INE738I01010,10,ECLERX.NS,81.29
424,EDELWEISS,Edelweiss Financial Services Limited,EQ,12-Dec-07,1,1,INE532F01054,1,EDELWEISS.NS,2.97
425,EDUCOMP,Educomp Solutions Limited,BZ,13-Jan-06,2,1,INE216H01027,2,EDUCOMP.NS,-27.381
426,EICHERMOT,Eicher Motors Limited,EQ,07-Sep-04,1,1,INE066A01021,1,EICHERMOT.NS,49.24
427,EIDPARRY,EID Parry India Limited,EQ,10-May-95,1,1,INE126A01031,1,EIDPARRY.NS,34.385
428,EIFFL,Euro India Fresh Foods Limited,EQ,12-Oct-21,10,1,INE546V01010,10,EIFFL.NS,-0.831
429,EIHAHOTELS,EIH Associated Hotels Limited,EQ,08-Apr-08,10,1,INE276C01014,10,EIHAHOTELS.NS,-8.78
430,EIHOTEL,EIH Limited,EQ,08-Feb-95,2,1,INE230A01023,2,EIHOTEL.NS,-6.17
431,EIMCOELECO,Eimco Elecon (India) Limited,EQ,17-Apr-96,10,1,INE158B01016,10,EIMCOELECO.NS,19.55
432,EKC,Everest Kanto Cylinder Limited,EQ,15-Dec-05,2,1,INE184H01027,2,EKC.NS,7.486
433,ELECON,Elecon Engineering Company Limited,EQ,29-Sep-06,2,1,INE205B01023,2,ELECON.NS,5.14
434,ELECTCAST,Electrosteel Castings Limited,EQ,20-Jun-03,1,1,INE086A01029,1,ELECTCAST.NS,-3.37
435,ELECTHERM,Electrotherm (India) Limited,EQ,20-Aug-07,10,1,INE822G01016,10,ELECTHERM.NS,-55.656
436,ELGIEQUIP,Elgi Equipments Limited,EQ,22-Nov-95,1,1,INE285A01027,1,ELGIEQUIP.NS,3.238
437,ELGIRUBCO,Elgi Rubber Company Limited,EQ,10-Aug-11,1,1,INE819L01012,1,ELGIRUBCO.NS,0.22
438,EMAMILTD,Emami Limited,EQ,03-Aug-06,1,1,INE548C01032,1,EMAMILTD.NS,10.23
439,EMAMIPAP,Emami Paper Mills Limited,EQ,30-May-19,2,1,INE830C01026,2,EMAMIPAP.NS,8.4
440,EMAMIREAL,Emami Realty Limited,EQ,28-Jul-10,2,1,INE778K01012,2,EMAMIREAL.NS,-5.006
441,EMKAY,Emkay Global Financial Services Limited,EQ,28-Apr-06,10,1,INE296H01011,10,EMKAY.NS,4.52
442,EMMBI,Emmbi Industries Limited,EQ,24-Feb-10,10,1,INE753K01015,10,EMMBI.NS,4.729
443,ENDURANCE,Endurance Technologies Limited,EQ,19-Oct-16,10,1,INE913H01037,10,ENDURANCE.NS,31.21
444,ENERGYDEV,Energy Development Company Limited,EQ,02-Nov-07,10,1,INE306C01019,10,ENERGYDEV.NS,0.66
445,ENGINERSIN,Engineers India Limited,EQ,20-Aug-97,5,1,INE510A01028,5,ENGINERSIN.NS,3.99
446,ENIL,Entertainment Network (India) Limited,EQ,15-Feb-06,10,1,INE265F01028,10,ENIL.NS,-23.18
447,EPL,EPL Limited,EQ,11-Feb-02,2,1,INE255A01020,2,EPL.NS,7.57
448,EQUITAS,Equitas Holdings Limited,EQ,21-Apr-16,10,1,INE988K01017,10,EQUITAS.NS,12.32
449,EQUITASBNK,Equitas Small Finance Bank Limited,EQ,02-Nov-20,10,1,INE063P01018,10,EQUITASBNK.NS,3.49
450,ERIS,Eris Lifesciences Limited,EQ,29-Jun-17,1,1,INE406M01024,1,ERIS.NS,26.14
451,EROSMEDIA,Eros International Media Limited,EQ,06-Oct-10,10,1,INE416L01017,10,EROSMEDIA.NS,-163.014
452,ESABINDIA,Esab India Limited,EQ,01-Nov-95,10,1,INE284A01012,10,ESABINDIA.NS,38.517
453,ESCORTS,Escorts Limited,EQ,01-Mar-95,10,1,INE042A01014,10,ESCORTS.NS,91.98
454,ESSARSHPNG,Essar Shipping Limited,EQ,15-Nov-11,10,1,INE122M01019,10,ESSARSHPNG.NS,-94.403
455,ESTER,Ester Industries Limited,EQ,20-Jun-11,5,1,INE778B01029,5,ESTER.NS,16.49
456,EUROTEXIND,Eurotex Industries and Exports Limited,BE,31-Jan-96,10,1,INE022C01012,10,EUROTEXIND.NS,-13.41
457,EVEREADY,Eveready Industries India Limited,EQ,27-Apr-05,5,1,INE128A01029,5,EVEREADY.NS,26.698
458,EVERESTIND,Everest Industries Limited,EQ,29-Mar-95,10,1,INE295A01018,10,EVERESTIND.NS,36.06
459,EXCEL,Excel Realty N Infra Limited,EQ,03-Aug-09,10,1,INE688J01015,10,EXCEL.NS,-0.233
460,EXCELINDUS,Excel Industries Limited,EQ,16-Jun-04,5,1,INE369A01029,5,EXCELINDUS.NS,56.55
461,EXIDEIND,Exide Industries Limited,EQ,17-Jun-03,1,1,INE302A01020,1,EXIDEIND.NS,9.53
462,EXPLEOSOL,Expleo Solutions Limited,EQ,26-Oct-09,10,1,INE201K01015,10,EXPLEOSOL.NS,49.2
463,EXXARO,Exxaro Tiles Limited,EQ,16-Aug-21,10,1,INE0GFE01018,10,EXXARO.NS,
464,FACT,Fertilizers and Chemicals Travancore Limited,EQ,12-Apr-95,10,1,INE188A01015,10,FACT.NS,5.44
465,FAIRCHEMOR,Fairchem Organics Limited,EQ,24-Dec-20,10,1,INE0DNW01011,10,FAIRCHEMOR.NS,32.63
